time,voltage,pressed
50.2556248,1.891495601,1
50.3151778,1.891495601,1
50.377632,1.891495601,1
50.4381619,1.896383187,1
50.4999018,1.901270772,1
50.5619678,1.896383187,1
50.6225994,1.901270772,1
50.6842043,1.906158358,1
50.7428242,1.901270772,1
50.8070101,1.901270772,1
50.8668447,1.901270772,1
50.9276412,1.896383187,1
50.9903915,1.891495601,1
51.0516489,1.891495601,1
51.1118782,1.886608016,1
51.1730433,1.891495601,1
51.2337032,1.896383187,1
51.2946559,1.891495601,1
51.3556133,1.886608016,1
51.41792,1.896383187,1
51.4783323,1.896383187,1
51.5409028,1.891495601,1
51.6019968,1.886608016,1
51.6631666,1.886608016,1
51.7239234,1.88172043,1
51.7864343,1.876832845,1
51.8462762,1.876832845,1
51.9073017,1.871945259,1
51.9679168,1.871945259,1
52.0297731,1.871945259,1
52.0901831,1.867057674,1
52.1528459,1.867057674,1
52.2135634,1.871945259,1
52.2755238,1.867057674,1
52.3361742,1.867057674,1
52.3976253,1.862170088,1
52.458284,1.862170088,1
52.5216894,1.857282502,1
52.5823297,1.852394917,1
52.6434547,1.852394917,1
52.7067884,1.852394917,1
52.7673424,1.852394917,1
52.8276705,1.857282502,1
52.8888641,1.857282502,1
52.9495756,1.857282502,1
53.0110071,1.852394917,1
53.0730304,1.862170088,1
53.1337289,1.871945259,1
53.1954544,1.876832845,1
53.2581353,1.876832845,1
53.319959,1.88172043,1
53.3811422,1.891495601,1
53.4435546,1.896383187,1
53.5050614,1.891495601,1
53.5658587,1.891495601,1
53.6276073,1.896383187,1
53.6901695,1.891495601,1
53.7507352,1.88172043,1
53.8105801,1.886608016,1
53.8727359,1.896383187,1
53.9350439,1.896383187,1
53.9969009,1.896383187,1
54.0568958,1.891495601,1
54.1200364,1.891495601,1
54.18094,1.901270772,1
54.2436693,1.896383187,1
54.3046552,1.891495601,1
54.3660193,1.886608016,1
54.427511,1.886608016,1
54.4882354,1.876832845,1
54.5479474,1.871945259,1
54.6108563,1.871945259,1
54.671676,1.867057674,1
54.7334746,1.862170088,1
54.793975,1.857282502,1
54.8560812,1.857282502,1
54.9165858,1.852394917,1
54.9787358,1.847507331,1
55.0390018,1.842619746,1
55.1010613,1.842619746,1
55.161364,1.842619746,1
55.2237149,1.847507331,1
55.2854452,1.842619746,1
55.3473808,1.83773216,1
55.4082052,1.842619746,1
55.4693489,1.842619746,1
55.5321249,1.842619746,1
55.594438,1.83773216,1
55.6555723,1.842619746,1
55.7149672,1.847507331,1
55.7786549,1.852394917,1
55.8393746,1.852394917,1
55.9006196,1.857282502,1
55.9599596,1.871945259,1
56.0218443,1.871945259,1
56.0846646,1.871945259,1
56.1448163,1.876832845,1
56.2055704,1.876832845,1
56.267656,1.876832845,1
56.3294801,1.88172043,1
56.3902258,1.876832845,1
56.45012,1.88172043,1
56.5124437,1.886608016,1
56.5739501,1.886608016,1
56.6347106,1.886608016,1
56.6947376,1.88172043,1
56.7565699,1.896383187,1
56.8188581,1.901270772,1
56.8800479,1.901270772,1
56.9401424,1.901270772,1
57.0018421,1.891495601,1
57.0632115,1.886608016,1
57.1251185,1.88172043,1
57.1847726,1.88172043,1
57.2485573,1.876832845,1
57.3107932,1.876832845,1
57.3722331,1.876832845,1
57.4319885,1.876832845,1
57.4945443,1.871945259,1
57.5552842,1.876832845,1
57.6174199,1.876832845,1
57.6784826,1.871945259,1
57.7405988,1.871945259,1
57.802339,1.867057674,1
57.8630564,1.867057674,1
57.9252089,1.867057674,1
57.9871099,1.862170088,1
58.0476318,1.862170088,1
58.1075885,1.857282502,1
58.1840935,1.857282502,1
58.2476426,1.852394917,1
58.3088489,1.847507331,1
58.368479,1.847507331,1
58.4294653,1.852394917,1
58.4922047,1.852394917,1
58.5533685,1.852394917,1
58.6125761,1.847507331,1
58.6754277,1.852394917,1
58.7366584,1.857282502,1
58.7972184,1.857282502,1
58.8580949,1.862170088,1
58.9209245,1.867057674,1
58.9819544,1.871945259,1
59.0424207,1.871945259,1
59.1027254,1.867057674,1
59.1647292,1.871945259,1
59.2262904,1.886608016,1
59.2888001,1.886608016,1
59.3484565,1.88172043,1
59.4125455,1.886608016,1
59.4716934,1.891495601,1
59.5339381,1.896383187,1
59.5959281,1.891495601,1
59.6577745,1.896383187,1
59.7202755,1.901270772,1
59.7813777,1.901270772,1
59.8434962,1.896383187,1
59.9046102,1.901270772,1
59.9672554,1.911045943,1
60.0274111,1.911045943,1
60.0885128,1.911045943,1
60.153404,1.911045943,1
60.2296307,1.906158358,1
60.2899096,1.901270772,1
60.3525673,1.896383187,1
60.4133045,1.891495601,1
60.4730717,1.886608016,1
60.5343506,1.876832845,1
60.5977112,1.871945259,1
60.6581575,1.867057674,1
60.7182591,1.862170088,1
60.7805819,1.857282502,1
60.8426037,1.857282502,1
60.9036584,1.852394917,1
60.9642025,1.852394917,1
61.0267765,1.847507331,1
61.0881205,1.847507331,1
61.1505583,1.847507331,1
61.2106267,1.847507331,1
61.2719896,1.857282502,1
61.333419,1.852394917,1
61.3941976,1.852394917,1
61.4548211,1.852394917,1
61.5168877,1.857282502,1
61.5781965,1.857282502,1
61.6390569,1.857282502,1
61.6996132,1.857282502,1
61.7621682,1.862170088,1
61.8251721,1.867057674,1
61.8997123,1.867057674,1
61.9609871,1.871945259,1
62.0397961,1.886608016,1
62.1144433,1.886608016,1
62.1883786,1.886608016,1
62.2492855,1.886608016,1
62.3121625,1.891495601,1
62.373329,1.891495601,1
62.4343254,1.891495601,1
62.4971841,1.891495601,1
62.5592775,1.896383187,1
62.6209042,1.896383187,1
62.680763,1.891495601,1
62.7445654,1.886608016,1
62.8039314,1.891495601,1
62.8654566,1.891495601,1
62.9264812,1.891495601,1
62.9894709,1.886608016,1
63.0510409,1.88172043,1
63.1119569,1.88172043,1
63.1735929,1.88172043,1
63.2362158,1.876832845,1
63.2978477,1.876832845,1
63.3592277,1.876832845,1
63.4216678,1.876832845,1
63.4833096,1.876832845,1
63.546107,1.871945259,1
63.6056742,1.876832845,1
63.6685719,1.876832845,1
63.7290606,1.876832845,1
63.7910965,1.871945259,1
63.850496,1.867057674,1
63.9137693,1.862170088,1
63.9758469,1.857282502,1
64.0383302,1.852394917,1
64.0999927,1.852394917,1
64.1627222,1.852394917,1
64.2236073,1.852394917,1
64.2851939,1.857282502,1
64.3461748,1.852394917,1
64.4088985,1.852394917,1
64.4722497,1.862170088,1
64.5329889,1.876832845,1
64.5950022,1.88172043,1
64.657006,1.88172043,1
64.7214256,1.886608016,1
64.7809753,1.891495601,1
64.8445723,1.896383187,1
64.9056294,1.891495601,1
64.968509,1.896383187,1
65.0293935,1.896383187,1
65.0905805,1.901270772,1
65.1527184,1.896383187,1
65.2133184,1.901270772,1
65.2744302,1.915933529,1
65.3368264,1.920821114,1
65.3977063,1.920821114,1
65.4601253,1.915933529,1
65.5205037,1.920821114,1
65.5829553,1.920821114,1
65.6464096,1.911045943,1
65.7072849,1.906158358,1
65.7681178,1.906158358,1
65.8302947,1.901270772,1
65.8934652,1.891495601,1
65.9549697,1.891495601,1
66.0176754,1.886608016,1
66.0792021,1.876832845,1
66.1407818,1.871945259,1
66.2015912,1.862170088,1
66.2658516,1.862170088,1
66.3277294,1.857282502,1
66.3882619,1.857282502,1
66.4489271,1.852394917,1
66.5109927,1.852394917,1
66.5732419,1.857282502,1
66.6327685,1.847507331,1
66.6954996,1.847507331,1
66.757063,1.842619746,1
66.8198211,1.842619746,1
66.8822066,1.842619746,1
66.9434499,1.83773216,1
67.0053029,1.842619746,1
67.0666675,1.847507331,1
67.1275415,1.852394917,1
67.190016,1.857282502,1
67.2532443,1.857282502,1
67.3150315,1.867057674,1
67.3752214,1.867057674,1
67.4389264,1.871945259,1
67.5007684,1.876832845,1
67.5614039,1.876832845,1
67.6239417,1.876832845,1
67.6867747,1.88172043,1
67.7480426,1.886608016,1
67.810595,1.886608016,1
67.872726,1.891495601,1
67.9341005,1.896383187,1
67.9968234,1.896383187,1
68.0572203,1.906158358,1
68.1193454,1.906158358,1
68.178804,1.906158358,1
68.2418668,1.911045943,1
68.3035187,1.906158358,1
68.3657282,1.906158358,1
68.4286341,1.906158358,1
68.4887212,1.906158358,1
68.5506128,1.911045943,1
68.6125189,1.911045943,1
68.6753313,1.906158358,1
68.7371815,1.906158358,1
68.7991274,1.906158358,1
68.8609209,1.911045943,1
68.9230851,1.911045943,1
68.9826481,1.906158358,1
69.0444313,1.901270772,1
69.1073281,1.901270772,1
69.1692756,1.896383187,1
69.2308972,1.891495601,1
69.2925707,1.891495601,1
69.3554513,1.886608016,1
69.4157733,1.886608016,1
69.4772041,1.88172043,1
69.539427,1.876832845,1
69.6027638,1.876832845,1
69.6639561,1.876832845,1
69.7245702,1.871945259,1
69.7878698,1.871945259,1
69.8490208,1.867057674,1
69.9087678,1.867057674,1
69.9718813,1.867057674,1
70.0319278,1.862170088,1
70.0943327,1.862170088,1
70.1554788,1.867057674,1
70.2172006,1.867057674,1
70.279343,1.876832845,1
70.3417365,1.88172043,1
70.4027492,1.876832845,1
70.4660279,1.876832845,1
70.5275893,1.88172043,1
70.5889761,1.886608016,1
70.6506766,1.886608016,1
70.7132398,1.886608016,1
70.7742607,1.886608016,1
70.836973,1.891495601,1
70.8980132,1.886608016,1
70.9583235,1.886608016,1
71.0213865,1.886608016,1
71.0821093,1.891495601,1
71.1437511,1.886608016,1
71.2055932,1.886608016,1
71.2690677,1.896383187,1
71.3306644,1.901270772,1
71.393223,1.896383187,1
71.4555874,1.896383187,1
71.5171632,1.896383187,1
71.578495,1.901270772,1
71.640994,1.901270772,1
71.7029264,1.896383187,1
71.761838,1.891495601,1
71.8229358,1.886608016,1
71.884872,1.88172043,1
71.9474341,1.876832845,1
72.0090113,1.871945259,1
72.0711989,1.867057674,1
72.1334134,1.862170088,1
72.1953116,1.862170088,1
72.2564761,1.857282502,1
72.3180678,1.852394917,1
72.3796362,1.847507331,1
72.4420115,1.842619746,1
72.5024007,1.842619746,1
72.5651678,1.842619746,1
72.6274124,1.842619746,1
72.6883229,1.83773216,1
72.7505087,1.83773216,1
72.8128324,1.83773216,1
72.8764049,1.83773216,1
72.9388839,1.842619746,1
73.0006185,1.842619746,1
73.0625934,1.847507331,1
73.1231024,1.852394917,1
73.1847709,1.862170088,1
73.2446627,1.862170088,1
73.3069533,1.867057674,1
73.3671429,1.876832845,1
73.4290009,1.876832845,1
73.4905533,1.88172043,1
73.5536578,1.88172043,1
73.6154257,1.88172043,1
73.6763521,1.88172043,1
73.7378225,1.88172043,1
73.7992398,1.88172043,1
73.8604274,1.886608016,1
73.9222378,1.886608016,1
73.9842847,1.886608016,1
74.0451273,1.88172043,1
74.1062508,1.886608016,1
74.1675608,1.896383187,1
74.2304665,1.896383187,1
74.2937983,1.891495601,1
74.3548624,1.891495601,1
74.4145298,1.886608016,1
74.477273,1.886608016,1
74.5408249,1.876832845,1
74.6017615,1.88172043,1
74.662721,1.88172043,1
74.7243483,1.88172043,1
74.787316,1.876832845,1
74.8491245,1.871945259,1
74.9107499,1.88172043,1
74.9743963,1.88172043,1
75.0351628,1.88172043,1
75.0954924,1.88172043,1
75.1581099,1.876832845,1
75.2192591,1.871945259,1
75.2816872,1.871945259,1
75.34096,1.871945259,1
75.4041024,1.867057674,1
75.4660024,1.862170088,1
75.5275897,1.857282502,1
75.5879616,1.857282502,1
75.649189,1.852394917,1
75.7106488,1.847507331,1
75.7714025,1.852394917,1
75.8342481,1.847507331,1
75.8954117,1.847507331,1
75.9591408,1.847507331,1
76.0197238,1.852394917,1
76.0822791,1.852394917,1
76.143863,1.862170088,1
76.2061107,1.862170088,1
76.2680932,1.867057674,1
76.3303291,1.871945259,1
76.3940038,1.871945259,1
76.4536311,1.871945259,1
76.5152422,1.867057674,1
76.5786911,1.871945259,1
76.6400241,1.88172043,1
76.7018801,1.876832845,1
76.7624985,1.88172043,1
76.8237805,1.88172043,1
76.8864096,1.886608016,1
76.9465773,1.886608016,1
77.0080418,1.891495601,1
77.0704297,1.886608016,1
77.1323494,1.896383187,1
77.192883,1.891495601,1
77.2566284,1.886608016,1
77.3181473,1.886608016,1
77.3783993,1.896383187,1
77.4393804,1.896383187,1
77.5030832,1.896383187,1
77.5646232,1.891495601,1
77.627038,1.886608016,1
77.6889825,1.88172043,1
77.7506638,1.876832845,1
77.8111433,1.867057674,1
77.872721,1.867057674,1
77.9336977,1.862170088,1
77.9958084,1.852394917,1
78.0568864,1.847507331,1
78.1177771,1.847507331,1
78.1787568,1.842619746,1
78.2400955,1.83773216,1
78.3034938,1.832844575,1
78.3665415,1.832844575,1
78.4275225,1.83773216,1
78.4893406,1.83773216,1
78.5503001,1.842619746,1
78.6118514,1.83773216,1
78.6741128,1.847507331,1
78.7358058,1.852394917,1
78.797738,1.857282502,1
78.860152,1.857282502,1
78.9217288,1.862170088,1
78.9859314,1.867057674,1
79.0477116,1.867057674,1
79.1087846,1.871945259,1
79.1711384,1.871945259,1
79.2336719,1.876832845,1
79.2967529,1.871945259,1
79.3578787,1.871945259,1
79.4197711,1.876832845,1
79.4809296,1.886608016,1
79.5441507,1.886608016,1
79.6055752,1.88172043,1
79.6684031,1.88172043,1
79.7305118,1.88172043,1
79.7911858,1.88172043,1
79.8550538,1.876832845,1
79.9162063,1.876832845,1
79.9789277,1.876832845,1
80.0408537,1.886608016,1
80.1023282,1.886608016,1
80.1658199,1.88172043,1
80.2285044,1.891495601,1
80.2904453,1.891495601,1
80.35203,1.891495601,1
80.4123137,1.886608016,1
80.4740824,1.88172043,1
80.5360223,1.876832845,1
80.5978793,1.876832845,1
80.6595529,1.876832845,1
80.7220522,1.871945259,1
80.782672,1.867057674,1
80.8472408,1.867057674,1
80.9079662,1.867057674,1
80.9695994,1.862170088,1
81.0335523,1.867057674,1
81.0937322,1.862170088,1
81.1559693,1.862170088,1
81.216504,1.857282502,1
81.2785538,1.857282502,1
81.341108,1.857282502,1
81.4032317,1.852394917,1
81.4647464,1.847507331,1
81.5278196,1.847507331,1
81.5872302,1.842619746,1
81.6483116,1.852394917,1
81.7098676,1.857282502,1
81.7717287,1.852394917,1
81.8338696,1.857282502,1
81.8931403,1.871945259,1
81.9544393,1.876832845,1
82.0170879,1.88172043,1
82.0786991,1.886608016,1
82.1397843,1.886608016,1
